id;Abréviation;Définition;empty
6007.0;AFWP;Association Française des Wagons de Particuliers_x000D_;
12132.0;AGC;Autorail Grande Capacité_x000D_;
13906.0;AGO;Assistant Gestion Organisation - Gère les sessions de formation en centre de formation SNCF.;
6019.0;AGS;Architecture des gares et des stations;
6035.0;AIGF;Agence Informatique Gestion Finance_x000D_;
156.0;AII;ASTI;
6042.0;AJF;Association des Journalistes Ferroviaires_x000D_;
6056.0;AMAMH;"Agent de Maîtrise Approvisionnements Matériel Hors classe._x000D_
Grade de qualification D, de la filière Matériel, spécialité Approvisionnements. Niveau 2._x000D_";
6104.0;APAM;"Agent Professionnel Approvisionnements Matériel._x000D_
Grade de qualification B, de la filière Matériel, spécialité Approvisionnements. Niveau 1. _x000D_";
13510.0;APF;Agence Paie & Famille;
215.0;API;Anizy Pinon (GARE);
6117.0;APM;"Agent Professionnel Matériel._x000D_
Grade de qualification B, de la filière Matériel, spécialité Maintenance. Niveau 1.";
6118.0;APMC;Automoteur à  Plateforme pour Maintenance Caténaire : Engin ferroviaire équipé d'une plate-forme élévatrice_x000D_;
6120.0;APR;Analyse Prévisionnelle des Risques;
220.0;APW;Appenweier (GARE);
4316.0;AQ;Animateur Qualité;
4321.0;ARDIF;Agence de Recrutement D'Ile de France_x000D_;
4323.0;ARETIF;"Architecture pour REseau de TéléInformatique Ferroviaire_x000D_
(utilisé par RETIF)";
4326.0;ARP;Animateur Relations Publiques_x000D_;
4329.0;ARTHIC;Application Répartie de Télé-exploitation Hétérogène Informatique Centralisée : outil d'exploitation, ARTHIC est une plate-forme dédiée d'administration client/serveur, utilisée par OLERON et qui s'articule autour de 6 domaines : la télé-surveillance, les traces applicatives, la distribution des logiciels, la gestion de parc, la gestion des fiches incidents et la métrologie;
9709.0;ASA;Analyse Sûreté de fonctionnement de l'Architecture_x000D_;
256.0;ASM;Ars sur Moselle (GARE);
9713.0;ASR;Analyse de scénarii redoutés;
6173.0;AT;AlerTe_x000D_;
6183.0;ATF;Asservissement Traction Freinage_x000D_;
6192.0;ATMMH;"Agent Technique de Maîtrise Matériel Hors classe._x000D_
Grade de qualification D, de la filière Matériel, spécialité Maintenance. Niveau 2._x000D_";
284.0;AUE;Aubenton (GARE);
4351.0;AUTOM;Voir automoteurs;
303.0;AVG;Avrigny (GARE);
6216.0;AVISLTV;AVIS signalisation de Limitation Temporaire de Vitesse ( aide à  l'élaboration des )_x000D_;
305.0;AVN;Avesnes (GARE);
309.0;AVV;Avignon TGV (GARE);
320.0;AYE;Aulnoye - Aymeries (GARE);
6231.0;BA;BAnalisation;
14999.0;BAF;"Blocs d'Accord Fréquences._x000D_
(Avec des JES qui sont utilisés pour délimiter les CdV de type UM71 +  SVA).";
357.0;BAY;Bayeux (GARE);
15000.0;BCA;Boitiers de Communication Automatique;
